*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 19:08:22:539971,Reading speed:,0.05with0.05delay
2017-11-30 19:08:22:539866,Instruction:,"NumberOfStart:
2
ChildName:
test
HandMoveSpeed:
0.05
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 19:08:22:540404,Child Name:,test
2017-11-30 19:08:22:543995,On or OFF:,Face Tracking is OFF
2017-11-30 19:08:23:282459,On or OFF:,Face Tracking is ON
2017-11-30 19:08:23:787150,Robot State:,Introduce Nao Started
2017-11-30 19:08:25:234415,Instruction:,\rspd=90\ 
2017-11-30 19:08:25:734880,Robot State:,Introduce Nao Ended
2017-11-30 19:08:26:252753,On or OFF:,Face Tracking is OFF
2017-11-30 19:08:27:279489,Robot State:,Looking at The Book
2017-11-30 19:08:27:877190,Robot State:,TaskONE Selected
2017-11-30 19:08:28:901281,Robot State:,Looking at The Book
2017-11-30 19:08:29:409050,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:430521,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:430881,Current State of Reading: ,False
2017-11-30 19:08:29:443069,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:445109,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:445575,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:447038,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:447671,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:447883,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:448412,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:448696,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:448762,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:448941,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:449389,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:449575,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:449757,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:450787,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:450983,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:451167,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:451283,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:451691,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:451737,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:452510,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:452649,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:453155,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:453391,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:453473,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:453856,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:454177,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:454219,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:454356,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:454678,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:454869,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:454944,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:455346,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:455847,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:455804,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:456099,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:456173,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:456545,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:456702,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:456879,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:456965,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:457632,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:457882,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:458076,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:458143,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:460457,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:461084,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:461149,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:559358,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:559941,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:559849,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:659140,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:659733,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:659927,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:777918,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:779748,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:780192,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:868459,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:870034,Detected ARTags: ,"[61, 62]"
2017-11-30 19:08:29:870405,Current State of Reading: ,Waiting for Red-card
2017-11-30 19:08:29:967821,Detected ARTags: ,"61, 62, 63, 64"
2017-11-30 19:08:29:969673,Current State of Reading: ,Waiting for Red-card
