*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-20 16:54:58:956777,Child Name:,Child Name
2017-11-20 16:54:58:963298,On or OFF:,Face Tracking is OFF
2017-11-20 16:54:59:765154,On or OFF:,Face Tracking is ON
2017-11-20 16:55:00:768327,Robot State:,Introduce Nao Started
2017-11-20 16:55:03:408981,Robot State:,Introduce Nao Ended
2017-11-20 16:55:03:621262,On or OFF:,Face Tracking is OFF
2017-11-20 16:55:04:642180,Robot State:,Looking at The Book
2017-11-20 16:55:05:196977,Robot State:,TaskONE Selected
2017-11-20 16:55:06:223280,Robot State:,Looking at The Book
2017-11-20 16:55:06:733452,Current State of Reading: ,False
2017-11-20 16:55:06:737330,Current State of Reading: ,Waiting for Red-card
2017-11-20 16:55:08:438601,Robot State:,Reading Mode Started
2017-11-20 16:55:12:966136,Current Word:,\rspd=70\  HOOT
2017-11-20 16:55:12:965691,Robot Hand Pose: ,"x: 0.20547683537
y: 0.11155512929
z: 0.252843230963
x: 0.0167482513934
y: 0.304430991411
z: 0.00298802531324
w: 1.0"
2017-11-20 16:55:15:704595,Current Word:,\rspd=70\ HOOT		
2017-11-20 16:55:15:704784,Robot Hand Pose: ,"x: 0.212395191193
y: 0.0903001949191
z: 0.269294172525
x: 0.00318270339631
y: 0.22301016748
z: -0.0949980318546
w: 1.0"
2017-11-20 16:55:16:687485,Robot Hand Pose: ,"x: 0.203943938017
y: 0.117061674595
z: 0.249884039164
x: 0.0134183261544
y: 0.320127427578
z: 0.0342301093042
w: 1.0"
2017-11-20 16:55:16:687893,Current Word:,\rspd=70\  Don't
2017-11-20 16:55:17:925945,Robot Hand Pose: ,"x: 0.20571693778
y: 0.118972986937
z: 0.256114095449
x: 0.0105480188504
y: 0.289754748344
z: 0.0429267324507
w: 1.0"
2017-11-20 16:55:17:926486,Current Word:,\rspd=70\ listen
2017-11-20 16:55:19:185742,Robot Hand Pose: ,"x: 0.206583499908
y: 0.110596477985
z: 0.255708396435
x: -0.000750716717448
y: 0.290700137615
z: 0.00296760955825
w: 1.0"
2017-11-20 16:55:19:186753,Current Word:,\rspd=70\ to
2017-11-20 16:55:20:447147,Robot Hand Pose: ,"x: 0.206940919161
y: 0.102013722062
z: 0.255506485701
x: -0.00189313327428
y: 0.290543615818
z: -0.0386543124914
w: 1.0"
2017-11-20 16:55:20:447471,Current Word:,\rspd=70\ that
2017-11-20 16:55:21:735137,Current Word:,\rspd=70\ tiny
2017-11-20 16:55:21:735579,Robot Hand Pose: ,"x: 0.207326054573
y: 0.0928028449416
z: 0.255486249924
x: 0.000709926825948
y: 0.289469510317
z: -0.0834817513824
w: 1.0"
2017-11-20 16:55:23:044872,Robot Hand Pose: ,"x: 0.207214057446
y: 0.0836630016565
z: 0.255288809538
x: 0.0078012580052
y: 0.28919801116
z: -0.128305897117
w: 1.0"
2017-11-20 16:55:23:045131,Current Word:,\rspd=70\ little
2017-11-20 16:55:24:365115,Robot Hand Pose: ,"x: 0.206699624658
y: 0.0744002684951
z: 0.254912644625
x: 0.00710038095713
y: 0.289813607931
z: -0.173179775476
w: 1.0"
2017-11-20 16:55:24:366127,Current Word:,\rspd=70\  rabbit 			
2017-11-20 16:55:25:704769,Robot Hand Pose: ,"x: 0.198736131191
y: 0.120150506496
z: 0.239744439721
x: 0.0100771253929
y: 0.371289789677
z: 0.0509771071374
w: 1.0"
2017-11-20 16:55:25:705074,Current Word:,\rspd=70\  I am
2017-11-20 16:55:26:803533,Current Word:,\rspd=70\ the
2017-11-20 16:55:26:803935,Robot Hand Pose: ,"x: 0.200933635235
y: 0.121441505849
z: 0.245382830501
x: 0.00830627325922
y: 0.343358308077
z: 0.0568071678281
w: 1.0"
2017-11-20 16:55:27:884447,Robot Hand Pose: ,"x: 0.201473385096
y: 0.115730687976
z: 0.245003834367
x: -0.0013185092248
y: 0.344266086817
z: 0.028915155679
w: 1.0"
2017-11-20 16:55:27:884716,Current Word:,\rspd=70\ wisest
2017-11-20 16:55:28:964671,Robot Hand Pose: ,"x: 0.202340677381
y: 0.108916319907
z: 0.244876548648
x: -0.00268195243552
y: 0.343610972166
z: -0.00557356746867
w: 1.0"
2017-11-20 16:55:28:965940,Current Word:,\rspd=70\ and
2017-11-20 16:55:30:064023,Robot Hand Pose: ,"x: 0.202671945095
y: 0.101455070078
z: 0.244216263294
x: 0.00475983461365
y: 0.345757693052
z: -0.0429501272738
w: 1.0"
2017-11-20 16:55:30:065232,Current Word:,\rspd=70\ bravest
2017-11-20 16:55:31:164694,Robot Hand Pose: ,"x: 0.202913343906
y: 0.0938761755824
z: 0.244247853756
x: 0.00455177109689
y: 0.344436138868
z: -0.0803424566984
w: 1.0"
2017-11-20 16:55:31:165571,Current Word:,\rspd=70\  snake
2017-11-20 16:55:32:284035,Robot Hand Pose: ,"x: 0.202728033066
y: 0.0861716940999
z: 0.243464514613
x: 0.00537179084495
y: 0.347113847733
z: -0.118078105152
w: 1.0"
2017-11-20 16:55:32:285100,Current Word:,\rspd=70\ in
2017-11-20 16:55:33:403857,Robot Hand Pose: ,"x: 0.202865839005
y: 0.0795730799437
z: 0.244327738881
x: 0.00574292056262
y: 0.34181830287
z: -0.15056322515
w: 1.0"
2017-11-20 16:55:33:404770,Current Word:,\rspd=70\ the
2017-11-20 16:55:34:545704,Current Word:,\rspd=70\ skies.
2017-11-20 16:55:34:546057,Robot Hand Pose: ,"x: 0.20268073678
y: 0.0725593715906
z: 0.245232149959
x: 0.0114449970424
y: 0.336235135794
z: -0.185969546437
w: 1.0"
2017-11-20 16:55:35:960488,Robot State:,Looking at The Book
2017-11-20 16:55:38:042207,Detected Cards: ,YELLOW Card Detected
2017-11-20 16:55:38:097125,Current State of Reading: ,Repeat Wrong Mode
2017-11-20 16:55:38:193598,Detected Cards: ,YELLOW Card Detected
2017-11-20 16:55:38:210375,Current State of Reading: ,Repeated Wrong Mode
2017-11-20 16:55:38:210544,Detected Cards: ,YELLOW Card Detected
2017-11-20 16:55:38:699303,Current State of Reading: ,Repeat Wrong Mode
2017-11-20 16:55:38:903812,Current State of Reading: ,Repeated Wrong Mode
2017-11-20 16:55:38:994836,Current State of Reading: ,Waiting for Red-card
2017-11-20 16:55:39:822280,Robot State:,Looking at The Book
2017-11-20 16:55:45:819289,Detected Cards: ,YELLOW Card Detected
2017-11-20 16:55:46:306651,Current State of Reading: ,Repeat Wrong Mode
2017-11-20 16:55:46:394478,Current State of Reading: ,Repeated Wrong Mode
2017-11-20 16:55:46:493895,Current State of Reading: ,Waiting for Red-card
2017-11-20 16:55:47:913104,Robot State:,Reading Mode Started
2017-11-20 16:55:52:743370,Current Word:,\rspd=70\  HOOT
2017-11-20 16:55:52:743672,Robot Hand Pose: ,"x: 0.202427580953
y: 0.1115738675
z: 0.245383858681
x: 0.0162148308009
y: 0.341644763947
z: 0.00430136499926
w: 1.0"
2017-11-20 16:55:55:582920,Robot Hand Pose: ,"x: 0.212112918496
y: 0.0905901268125
z: 0.269531816244
x: -0.000359535217285
y: 0.222137644887
z: -0.0932271406054
w: 1.0"
2017-11-20 16:55:55:583652,Current Word:,\rspd=70\ HOOT		
2017-11-20 16:55:56:601761,Robot Hand Pose: ,"x: 0.203165993094
y: 0.119585707784
z: 0.249582365155
x: 0.00604346441105
y: 0.321939229965
z: 0.0456349551678
w: 1.0"
2017-11-20 16:55:56:601932,Current Word:,\rspd=70\  Don't
2017-11-20 16:55:57:904805,Robot Hand Pose: ,"x: 0.205045625567
y: 0.121404469013
z: 0.255410611629
x: 0.00463222619146
y: 0.293531268835
z: 0.0542517639697
w: 1.0"
2017-11-20 16:55:57:905312,Current Word:,\rspd=70\ listen
2017-11-20 16:55:59:203217,Robot Hand Pose: ,"x: 0.206138387322
y: 0.113032825291
z: 0.255619525909
x: -0.00369390542619
y: 0.291459292173
z: 0.0141911618412
w: 1.0"
2017-11-20 16:55:59:204635,Current Word:,\rspd=70\ to
2017-11-20 16:56:00:502191,Robot Hand Pose: ,"x: 0.206769272685
y: 0.103812173009
z: 0.255211472511
x: -0.00164337421302
y: 0.292078226805
z: -0.0309268180281
w: 1.0"
