*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-20 17:13:34:840556,Child Name:,Child Name
2017-11-20 17:13:34:848364,On or OFF:,Face Tracking is OFF
2017-11-20 17:13:35:515935,On or OFF:,Face Tracking is ON
2017-11-20 17:13:36:518955,Robot State:,Introduce Nao Started
2017-11-20 17:13:40:261657,Robot State:,Introduce Nao Ended
2017-11-20 17:13:40:816570,On or OFF:,Face Tracking is OFF
2017-11-20 17:13:41:829327,Robot State:,Looking at The Book
2017-11-20 17:13:42:437928,Robot State:,TaskONE Selected
2017-11-20 17:13:43:467904,Robot State:,Looking at The Book
2017-11-20 17:13:44:002928,Current State of Reading: ,False
2017-11-20 17:13:44:013063,Current State of Reading: ,Waiting for Red-card
2017-11-20 17:13:46:392818,Robot State:,Reading Mode Started
2017-11-20 17:13:51:011098,Current Word:,\rspd=70\  HOOT
2017-11-20 17:13:51:011226,Robot Hand Pose: ,"x: 0.203960701823
y: 0.113512419164
z: 0.249515712261
x: 0.0162156783044
y: 0.321220725775
z: 0.0149359703064
w: 1.0"
2017-11-20 17:13:53:833505,Current Word:,\rspd=70\ HOOT		
2017-11-20 17:13:53:833122,Robot Hand Pose: ,"x: 0.211737990379
y: 0.0895700603724
z: 0.268672704697
x: -0.00168501131702
y: 0.226118862629
z: -0.0979053974152
w: 1.0"
2017-11-20 17:13:54:830696,Current Word:,\rspd=70\  Don't
2017-11-20 17:13:54:830447,Robot Hand Pose: ,"x: 0.202622562647
y: 0.119282670319
z: 0.248879089952
x: 0.00807013083249
y: 0.325410157442
z: 0.0458301827312
w: 1.0"
2017-11-20 17:13:56:110713,Robot Hand Pose: ,"x: 0.20455634594
y: 0.121172279119
z: 0.254514813423
x: 0.00526419840753
y: 0.298004984856
z: 0.0545527637005
w: 1.0"
2017-11-20 17:13:56:111555,Current Word:,\rspd=70\ listen
2017-11-20 17:13:57:412901,Robot Hand Pose: ,"x: 0.205955147743
y: 0.112505711615
z: 0.255329430103
x: -0.00301508978009
y: 0.292653948069
z: 0.012394006364
w: 1.0"
2017-11-20 17:13:57:413964,Current Word:,\rspd=70\ to
2017-11-20 17:13:58:732280,Robot Hand Pose: ,"x: 0.206779420376
y: 0.103359416127
z: 0.255199700594
x: -0.00165160221513
y: 0.29222881794
z: -0.0321645028889
w: 1.0"
2017-11-20 17:13:58:732705,Current Word:,\rspd=70\ that
2017-11-20 17:14:00:033702,Robot Hand Pose: ,"x: 0.207487121224
y: 0.0941173434258
z: 0.255807489157
x: 0.00112017453648
y: 0.288076967001
z: -0.0770809054375
w: 1.0"
2017-11-20 17:14:00:034222,Current Word:,\rspd=70\ tiny
2017-11-20 17:14:01:354986,Robot Hand Pose: ,"x: 0.207204416394
y: 0.0841565877199
z: 0.255334049463
x: 0.00727576063946
y: 0.289095133543
z: -0.125251993537
w: 1.0"
2017-11-20 17:14:01:355827,Current Word:,\rspd=70\ little
2017-11-20 17:14:02:712736,Robot Hand Pose: ,"x: 0.207302600145
y: 0.0748812183738
z: 0.256816148758
x: 0.00811399519444
y: 0.280789405107
z: -0.169869273901
w: 1.0"
2017-11-20 17:14:02:712905,Current Word:,\rspd=70\  rabbit 			
2017-11-20 17:14:04:111643,Robot Hand Pose: ,"x: 0.197560831904
y: 0.122559174895
z: 0.238465666771
x: 0.00877376366407
y: 0.378237336874
z: 0.0631457269192
w: 1.0"
2017-11-20 17:14:04:112533,Current Word:,\rspd=70\  I am
2017-11-20 17:14:05:213044,Current Word:,\rspd=70\ the
2017-11-20 17:14:05:213234,Robot Hand Pose: ,"x: 0.197558671236
y: 0.123440109193
z: 0.238868430257
x: 0.00448600342497
y: 0.376416146755
z: 0.0680582150817
w: 1.0"
2017-11-20 17:14:06:331855,Current Word:,\rspd=70\ wisest
2017-11-20 17:14:06:332506,Robot Hand Pose: ,"x: 0.198238164186
y: 0.118103787303
z: 0.238436728716
x: -0.0025097290054
y: 0.377543568611
z: 0.0413913019001
w: 1.0"
2017-11-20 17:14:07:470097,Robot Hand Pose: ,"x: 0.198965787888
y: 0.110721372068
z: 0.237954512239
x: -0.00100352871232
y: 0.378700762987
z: 0.00369263999164
w: 1.0"
2017-11-20 17:14:07:470907,Current Word:,\rspd=70\ and
2017-11-20 17:14:08:611503,Robot Hand Pose: ,"x: 0.199568748474
y: 0.103500656784
z: 0.237580925226
x: 0.00102884427179
y: 0.37935000658
z: -0.0326273180544
w: 1.0"
2017-11-20 17:14:08:612391,Current Word:,\rspd=70\ bravest
