*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-20 16:56:03:812613,Child Name:,Child Name
2017-11-20 16:56:03:820367,On or OFF:,Face Tracking is OFF
2017-11-20 16:56:04:518053,On or OFF:,Face Tracking is ON
2017-11-20 16:56:05:521351,Robot State:,Introduce Nao Started
2017-11-20 16:56:09:064688,Robot State:,Introduce Nao Ended
2017-11-20 16:56:09:274190,On or OFF:,Face Tracking is OFF
2017-11-20 16:56:10:298558,Robot State:,Looking at The Book
2017-11-20 16:56:10:996907,Robot State:,TaskONE Selected
2017-11-20 16:56:12:018660,Robot State:,Looking at The Book
2017-11-20 16:56:12:545955,Current State of Reading: ,False
2017-11-20 16:56:12:559296,Current State of Reading: ,Waiting for Red-card
2017-11-20 16:56:14:127874,Robot State:,Reading Mode Started
2017-11-20 16:56:18:622040,Current Word:,\rspd=70\  HOOT
2017-11-20 16:56:18:621859,Robot Hand Pose: ,"x: 0.203825622797
y: 0.114212103188
z: 0.24956150353
x: 0.020494427532
y: 0.321162223816
z: 0.0182287730277
w: 1.0"
2017-11-20 16:56:21:287308,Detected Cards: ,YELLOW Card Detected
2017-11-20 16:56:21:460726,Robot Hand Pose: ,"x: 0.212025135756
y: 0.0907656103373
z: 0.269217073917
x: -0.00012962333858
y: 0.223642617464
z: -0.0916421487927
w: 1.0"
2017-11-20 16:56:21:461782,Current Word:,\rspd=70\ HOOT		
2017-11-20 16:56:22:482003,Robot Hand Pose: ,"x: 0.203125998378
y: 0.11981382221
z: 0.249651670456
x: 0.00806634128094
y: 0.32155841589
z: 0.0473615787923
w: 1.0"
2017-11-20 16:56:22:483172,Current Word:,\rspd=70\  Don't
2017-11-20 16:56:23:781690,Current Word:,\rspd=70\ listen
2017-11-20 16:56:23:781516,Robot Hand Pose: ,"x: 0.204920142889
y: 0.121597148478
z: 0.25549441576
x: 0.00645296648145
y: 0.293030679226
z: 0.0557908676565
w: 1.0"
2017-11-20 16:56:24:102350,Current State of Reading: ,Repeat Wrong Mode
2017-11-20 16:56:24:399175,Current State of Reading: ,Repeated Wrong Mode
2017-11-20 16:56:24:603909,Current State of Reading: ,Waiting for Red-card
2017-11-20 16:56:25:081805,Robot Hand Pose: ,"x: 0.206075519323
y: 0.112917654216
z: 0.255670100451
x: -0.002276429208
y: 0.291118353605
z: 0.0141490306705
w: 1.0"
2017-11-20 16:56:25:082195,Current Word:,\rspd=70\ to
2017-11-20 16:56:26:384382,Current Word:,\rspd=70\ that
2017-11-20 16:56:26:383389,Robot Hand Pose: ,"x: 0.206854537129
y: 0.103759288788
z: 0.255547136068
x: -0.00310741900466
y: 0.290411919355
z: -0.0307789612561
w: 1.0"
2017-11-20 16:56:27:681893,Robot Hand Pose: ,"x: 0.207268461585
y: 0.094147130847
z: 0.255531668663
x: 0.00259242183529
y: 0.289445400238
z: -0.0770064368844
w: 1.0"
2017-11-20 16:56:27:682345,Current Word:,\rspd=70\ tiny
2017-11-20 16:56:29:021838,Robot Hand Pose: ,"x: 0.207204326987
y: 0.0846321284771
z: 0.255335301161
x: 0.00611955812201
y: 0.289104759693
z: -0.12350460887
w: 1.0"
2017-11-20 16:56:29:022112,Current Word:,\rspd=70\ little
2017-11-20 16:56:30:400616,Current Word:,\rspd=70\  rabbit 			
2017-11-20 16:56:30:400988,Robot Hand Pose: ,"x: 0.206941157579
y: 0.0747219026089
z: 0.255866765976
x: 0.00841409899294
y: 0.28529804945
z: -0.171397283673
w: 1.0"
2017-11-20 16:56:31:800394,Robot Hand Pose: ,"x: 0.197560817003
y: 0.122610352933
z: 0.238447278738
x: 0.00854329578578
y: 0.378250211477
z: 0.0630597695708
w: 1.0"
2017-11-20 16:56:31:800738,Current Word:,\rspd=70\  I am
2017-11-20 16:56:32:901399,Current Word:,\rspd=70\ the
2017-11-20 16:56:32:901603,Robot Hand Pose: ,"x: 0.199585676193
y: 0.123666614294
z: 0.243422523141
x: 0.00496705621481
y: 0.353478610516
z: 0.0685227438807
w: 1.0"
2017-11-20 16:56:34:021108,Robot Hand Pose: ,"x: 0.200690940022
y: 0.118058718741
z: 0.243925467134
x: -0.00190774828661
y: 0.349994719028
z: 0.040525726974
w: 1.0"
2017-11-20 16:56:34:021789,Current Word:,\rspd=70\ wisest
2017-11-20 16:56:35:160428,Robot Hand Pose: ,"x: 0.20149949193
y: 0.111234344542
z: 0.243792980909
x: -0.00156927574426
y: 0.349481403828
z: 0.00616350909695
w: 1.0"
2017-11-20 16:56:35:161373,Current Word:,\rspd=70\ and
2017-11-20 16:56:36:300944,Robot Hand Pose: ,"x: 0.201908901334
y: 0.10343708843
z: 0.243073269725
x: 0.000127211213112
y: 0.351732164621
z: -0.0330443419516
w: 1.0"
2017-11-20 16:56:36:301762,Current Word:,\rspd=70\ bravest
