*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-11-03 14:35:01:694131" "Robot State: " "Introduce Nao Started"
"2017-11-03 14:35:03:284492" "Robot State: " "Introduce Nao Ended"
"2017-11-03 14:35:04:460353" "Robot State: " "Looking at The Book"
"2017-11-03 14:35:05:085328" "Robot State: " "TaskONE Selected"
"2017-11-03 14:35:06:104442" "Robot State: " "Looking at The Book"
"2017-11-03 14:35:08:221813" "Robot State: " "Reading Mode Started"
"2017-11-03 14:35:12:601565" "Position: x: 0.200966447592
y: 0.105493307114
z: 0.240461438894
x: 0.018001485616
y: 0.365137130022
z: -0.0246871300042
w: 1.0"
"2017-11-03 14:35:12:602343" "Current Word: ,\rspd=70\  HEY!		"
"2017-11-03 14:35:13:242429" "Position: x: 0.200073778629
y: 0.115987926722
z: 0.240996301174
x: 0.00905444473028
y: 0.36398422718
z: 0.0292908195406
w: 1.0"
"2017-11-03 14:35:13:243307" "Current Word: ,\rspd=70\  would you"
"2017-11-03 14:35:14:662367" "Position: x: 0.204007208347
y: 0.117888867855
z: 0.251325547695
x: 0.00224730558693
y: 0.313062101603
z: 0.0389426462352
w: 1.0"
"2017-11-03 14:35:14:663128" "Current Word: ,\rspd=70\ like"
"2017-11-03 14:35:16:100492" "Position: x: 0.204517230392
y: 0.106973774731
z: 0.249977827072
x: -0.00482385559008
y: 0.318156063557
z: -0.0140455393121
w: 1.0"
"2017-11-03 14:35:16:100824" "Current Word: ,\rspd=70\ to know"
"2017-11-03 14:35:17:541839" "Position: x: 0.204878017306
y: 0.096117451787
z: 0.249334320426
x: 7.31665713829e-05
y: 0.319787532091
z: -0.0673279687762
w: 1.0"
"2017-11-03 14:35:17:542320" "Current Word: ,\rspd=70\ a"
"2017-11-03 14:35:19:000032" "Position: x: 0.205704107881
y: 0.085310742259
z: 0.251250058413
x: 0.00587789807469
y: 0.308811128139
z: -0.1205791682
w: 1.0"
"2017-11-03 14:35:19:000453" "Current Word: ,\rspd=70\ secret?		"
"2017-11-03 14:35:20:082127" "Position: x: 0.196000128984
y: 0.117684058845
z: 0.233554258943
x: 0.00619977945462
y: 0.402085483074
z: 0.0391627959907
w: 1.0"
"2017-11-03 14:35:20:082383" "Current Word: ,\rspd=70\ well"
"2017-11-03 14:35:21:540932" "Position: x: 0.198796570301
y: 0.117705658078
z: 0.239348560572
x: -6.77555872244e-05
y: 0.372821480036
z: 0.0397331863642
w: 1.0"
"2017-11-03 14:35:21:541636" "Current Word: ,\rspd=70\ everyone"
"2017-11-03 14:35:22:980338" "Position: x: 0.199904114008
y: 0.107294976711
z: 0.238976672292
x: 0.000503282120917
y: 0.37281998992
z: -0.0130416024476
w: 1.0"
"2017-11-03 14:35:22:980720" "Current Word: ,\rspd=70\ thinks"
"2017-11-03 14:35:24:460583" "Position: x: 0.200776308775
y: 0.0961285457015
z: 0.239461869001
x: 0.00519242417067
y: 0.368552476168
z: -0.0689509734511
w: 1.0"
"2017-11-03 14:35:24:460857" "Current Word: ,\rspd=70\ I am"
"2017-11-03 14:35:25:961232" "Position: x: 0.201394617558
y: 0.0856044739485
z: 0.240782186389
x: 0.00875602383167
y: 0.360230445862
z: -0.121386118233
w: 1.0"
"2017-11-03 14:35:25:961350" "Current Word: ,\rspd=70\ only			"
"2017-11-03 14:35:27:100918" "Position: x: 0.191964238882
y: 0.12032392621
z: 0.226404666901
x: 0.00335245067254
y: 0.439786165953
z: 0.0544905290008
w: 1.0"
"2017-11-03 14:35:27:101347" "Current Word: ,\rspd=70\  big"
"2017-11-03 14:35:28:238979" "Position: x: 0.193563967943
y: 0.121748678386
z: 0.230162456632
x: -0.000139769166708
y: 0.420674920082
z: 0.0620730929077
w: 1.0"
"2017-11-03 14:35:28:239203" "Current Word: ,\rspd=70\ and"
"2017-11-03 14:35:29:422217" "Current Word: ,\rspd=70\ cute"
"2017-11-03 14:35:29:422055" "Position: x: 0.194377541542
y: 0.113948464394
z: 0.229498624802
x: -0.00443623308092
y: 0.422497361898
z: 0.0218073073775
w: 1.0"
"2017-11-03 14:35:30:600828" "Position: x: 0.194763809443
y: 0.106952600181
z: 0.228418782353
x: 0.00134677859023
y: 0.426467955112
z: -0.0153682874516
w: 1.0"
"2017-11-03 14:35:30:601059" "Current Word: ,\rspd=70\ but"
"2017-11-03 14:35:31:821746" "Position: x: 0.196076452732
y: 0.0990749150515
z: 0.229826152325
x: 0.00349309691228
y: 0.417632967234
z: -0.0558346882463
w: 1.0"
"2017-11-03 14:35:31:822624" "Current Word: ,\rspd=70\ really"
"2017-11-03 14:35:33:021886" "Position: x: 0.196136966348
y: 0.0905758142471
z: 0.229617372155
x: 0.00438301218674
y: 0.417084664106
z: -0.0993869975209
w: 1.0"
"2017-11-03 14:35:33:022834" "Current Word: ,\rspd=70\ I am"
"2017-11-03 14:35:34:219841" "Position: x: 0.196051716805
y: 0.0824443176389
z: 0.229432344437
x: 0.0104723703116
y: 0.416455119848
z: -0.141271099448
w: 1.0"
"2017-11-03 14:35:34:220430" "Current Word: ,\rspd=70\ the 		"
"2017-11-03 14:35:35:413200" "Current Word: ,\rspd=70\ bravest"
"2017-11-03 14:35:35:413022" "Position: x: 0.185323640704
y: 0.118271321058
z: 0.214428842068
x: 0.00318779028021
y: 0.503112435341
z: 0.0457778759301
w: 1.0"
"2017-11-03 14:35:36:860163" "Position: x: 0.188248217106
y: 0.117853961885
z: 0.21931540966
x: 0.00089668482542
y: 0.476701170206
z: 0.0427246019244
w: 1.0"
"2017-11-03 14:35:36:860572" "Current Word: ,\rspd=70\  human"
"2017-11-03 14:35:38:322422" "Position: x: 0.189566597342
y: 0.106268338859
