*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-11-02 16:11:33:909848" "Robot State: ,Introduce Nao Started"
"2017-11-02 16:11:35:485133" "Robot State: ,Introduce Nao Ended"
"2017-11-02 16:11:36:545670" "Robot State: ,Looking at The Book"
"2017-11-02 16:11:37:194427" "Robot State: ,TaskONE Selected"
"2017-11-02 16:11:39:064037" "Robot State: ,Looking at The Book"
"2017-11-02 16:11:41:527804" "Robot State: ,Reading Mode Started"
"2017-11-02 16:11:45:829631" "Position: x: 0.196795806289
y: 0.0830269604921
z: 0.231482952833
x: 0.0136825153604
y: 0.406798988581
z: -0.133378267288
w: 1.0"
"2017-11-02 16:11:45:830816" "Current Word: ,\rspd=70\  SNORT!		"
"2017-11-02 16:11:46:668980" "Position: x: 0.19698831439
y: 0.10026127845
z: 0.232029378414
x: 0.0041138404049
y: 0.407289087772
z: -0.0449035428464
w: 1.0"
"2017-11-02 16:11:46:669721" "Current Word: ,\rspd=70\"
"2017-11-02 16:11:47:830019" "Position: x: 0.20488229394
y: 0.104396946728
z: 0.249860584736
x: 0.00840444862843
y: 0.318952620029
z: -0.0217143837363
w: 1.0"
"2017-11-02 16:11:47:830560" "Current Word: ,\rspd=70\ A mighty"
"2017-11-02 16:11:48:988477" "Current Word: ,\rspd=70\  raccoon"
"2017-11-02 16:11:48:988234" "Position: x: 0.204920470715
y: 0.0988654345274
z: 0.249364346266
x: 0.00110018276609
y: 0.320526838303
z: -0.04903120175
w: 1.0"
"2017-11-02 16:11:50:148213" "Current Word: ,\rspd=70\ She's"
"2017-11-02 16:11:50:148306" "Position: x: 0.205087631941
y: 0.0913845598698
z: 0.249307751656
x: 0.00359991192818
y: 0.319885373116
z: -0.0858576670289
w: 1.0"
"2017-11-02 16:11:51:349663" "Position: x: 0.20539098978
y: 0.0842879787087
z: 0.249642133713
x: 0.00676329713315
y: 0.317150324583
z: -0.120029568672
w: 1.0"
"2017-11-02 16:11:51:350223" "Current Word: ,\rspd=70\ a"
"2017-11-02 16:11:52:530640" "Current Word: ,\rspd=70\ scaredy-cat"
"2017-11-02 16:11:52:531062" "Position: x: 0.2050088346
y: 0.0770384520292
z: 0.249446228147
x: 0.00628988910466
y: 0.317075699568
z: -0.155499398708
w: 1.0"
"2017-11-02 16:11:53:689278" "Current Word: ,\rspd=70\ I am"
"2017-11-02 16:11:53:689590" "Position: x: 0.205168530345
y: 0.0700313895941
z: 0.251835525036
x: 0.00907905213535
y: 0.304655611515
z: -0.188904464245
w: 1.0"
"2017-11-02 16:11:54:891859" "Position: x: 0.204435646534
y: 0.062323153019
z: 0.25206258893
x: 0.0121536329389
y: 0.302629739046
z: -0.226002678275
w: 1.0"
"2017-11-02 16:11:54:892724" "Current Word: ,\rspd=70\ the"
"2017-11-02 16:11:56:128889" "Current Word: ,\rspd=70\  smallest		"
"2017-11-02 16:11:56:129352" "Position: x: 0.203740462661
y: 0.0562970899045
z: 0.251758754253
x: 0.0131126297638
y: 0.303196847439
z: -0.256537348032
w: 1.0"
"2017-11-02 16:11:57:569401" "Position: x: 0.202220618725
y: 0.104218520224
z: 0.243784666061
x: 0.0119635947049
y: 0.348936766386
z: -0.0223913881928
w: 1.0"
"2017-11-02 16:11:57:570627" "Current Word: ,\rspd=70\ and"
"2017-11-02 16:11:58:634466" "Position: x: 0.204661026597
y: 0.10437604785
z: 0.249698862433
x: 0.0100957341492
y: 0.31973311305
z: -0.0214169733226
w: 1.0"
"2017-11-02 16:11:58:635556" "Current Word: ,\rspd=70\ I am"
"2017-11-02 16:11:59:730804" "Position: x: 0.205020964146
y: 0.10072927922
z: 0.249816730618
x: 0.00478632049635
y: 0.318757534027
z: -0.0390734523535
w: 1.0"
