*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-29 11:37:13:206781,Child Name:,Child Name
2017-11-29 11:37:13:213682,On or OFF:,Face Tracking is OFF
2017-11-29 11:37:13:961195,On or OFF:,Face Tracking is ON
2017-11-29 11:37:14:964464,Robot State:,Introduce Nao Started
2017-11-29 11:37:23:573517,Robot State:,Introduce Nao Ended
2017-11-29 11:37:24:103317,On or OFF:,Face Tracking is OFF
2017-11-29 11:37:25:127887,Robot State:,Looking at The Book
2017-11-29 11:37:25:780173,Robot State:,TaskONE Selected
2017-11-29 11:37:26:788649,Robot State:,Looking at The Book
2017-11-29 11:37:27:295315,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:308937,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:309319,Current State of Reading: ,False
2017-11-29 11:37:27:315403,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:315643,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:315979,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:315894,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:316629,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:316832,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:316955,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:317125,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:317277,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:317340,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:317846,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:317807,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:318071,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:318600,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:318391,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:318677,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:318938,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:318977,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:319128,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:319451,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:319546,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:319683,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:320105,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:320238,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:320389,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:320867,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:321094,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:321048,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:321708,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:321856,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:322456,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:322813,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:322748,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:323302,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:323502,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:324168,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:324295,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:324352,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:324479,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:374094,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:374431,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:374575,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:479443,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:480308,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:480477,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:577864,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:578637,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:578860,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:687671,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:689522,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:689347,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:790530,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:791193,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:791396,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:890217,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:891447,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:891728,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:27:981751,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:27:982331,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:27:982530,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:28:077499,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:28:078228,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:28:078411,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:28:190811,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:28:191833,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:28:192146,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:28:280615,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:28:281434,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:28:281732,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:28:389569,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:28:391074,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:28:391669,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:28:485211,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:28:486787,Current State of Reading: ,Waiting for Red-card
2017-11-29 11:37:28:486984,Detected ARTags: ,"[61, 62]"
2017-11-29 11:37:28:585898,Detected ARTags: ,"61, 62, 63, 64"
2017-11-29 11:37:28:587302,Detected ARTags: ,"[61, 62]"
