*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-11-03 14:27:15:982866" "Robot State: ,Introduce Nao Started"
"2017-11-03 14:27:17:945669" "Robot State: ,Introduce Nao Ended"
"2017-11-03 14:27:19:190902" "Robot State: ,Looking at The Book"
"2017-11-03 14:27:19:784597" "Robot State: ,TaskONE Selected"
"2017-11-03 14:27:20:813800" "Robot State: ,Looking at The Book"
"2017-11-03 14:27:23:000953" "Robot State: ,Reading Mode Started"
"2017-11-03 14:27:27:474777" "Current Word: ,\rspd=70\  HEY!		"
"2017-11-03 14:27:27:475097" "Position: x: 0.200465410948
y: 0.104600936174
z: 0.239468351007
x: 0.0173106007278
y: 0.369842380285
z: -0.0295447427779
w: 1.0"
"2017-11-03 14:27:28:133767" "Position: x: 0.199699386954
y: 0.114518091083
z: 0.240001499653
x: 0.00964622199535
y: 0.368897557259
z: 0.0214254967868
w: 1.0"
"2017-11-03 14:27:28:134444" "Current Word: ,\rspd=70\  would you"
"2017-11-03 14:27:29:555474" "Current Word: ,\rspd=70\ like"
"2017-11-03 14:27:29:555774" "Position: x: 0.204396545887
y: 0.116504572332
z: 0.251847803593
x: 0.00275969319046
y: 0.310316056013
z: 0.0309628024697
w: 1.0"
"2017-11-03 14:27:30:995552" "Current Word: ,\rspd=70\ to know"
"2017-11-03 14:27:30:995731" "Position: x: 0.205235868692
y: 0.105062872171
z: 0.251147985458
x: 0.00149266631342
y: 0.312122672796
z: -0.0239109303802
w: 1.0"
"2017-11-03 14:27:32:457345" "Current Word: ,\rspd=70\ a"
"2017-11-03 14:27:32:456830" "Position: x: 0.205533742905
y: 0.096273444593
z: 0.251147180796
x: 0.00317142694257
y: 0.310726076365
z: -0.0674923360348
w: 1.0"
"2017-11-03 14:27:33:916218" "Position: x: 0.205695420504
y: 0.0847299024463
z: 0.251214534044
x: 0.00451939972118
y: 0.308769136667
z: -0.123914249241
w: 1.0"
"2017-11-03 14:27:33:916140" "Current Word: ,\rspd=70\ secret?		"
"2017-11-03 14:27:34:974612" "Position: x: 0.198172539473
y: 0.115933813155
