*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
2017-11-03 14:42:27:368860,"Robot State: ,Introduce Nao Started"
2017-11-03 14:42:28:953715,"Robot State: ,Introduce Nao Ended"
2017-11-03 14:42:30:448801,"Robot State: ,Looking at The Book"
2017-11-03 14:42:30:985691,"Robot State: ,TaskONE Selected"
2017-11-03 14:42:32:009339,"Robot State: ,Looking at The Book"
2017-11-03 14:42:34:131959,"Robot State: ,Reading Mode Started"
2017-11-03 14:42:38:533863,"Position: x: 0.201605498791
y: 0.104024909437
z: 0.241895675659
x: 0.0173627175391
y: 0.35766774416
z: -0.0312678702176
w: 1.0"
2017-11-03 14:42:38:534458,"Current Word: ,\rspd=70\  HEY!		"
2017-11-03 14:42:39:173156,"Position: x: 0.200912237167
y: 0.114674240351
z: 0.242736950517
x: 0.0112960226834
y: 0.355134934187
z: 0.0225549377501
w: 1.0"
2017-11-03 14:42:39:173547,"Current Word: ,\rspd=70\  would you"
2017-11-03 14:42:40:553068,"Position: x: 0.204230666161
y: 0.116822533309
z: 0.251536995173
x: 0.00518776709214
y: 0.311817288399
z: 0.0340797714889
w: 1.0"
2017-11-03 14:42:40:554307,"Current Word: ,\rspd=70\ like"
2017-11-03 14:42:42:020713,"Current Word: ,\rspd=70\ to know"
2017-11-03 14:42:42:020901,"Position: x: 0.204830855131
y: 0.105233378708
z: 0.250196665525
x: 0.000303558539599
y: 0.316811740398
z: -0.0221619326621
w: 1.0"
2017-11-03 14:42:43:473085,"Position: x: 0.204983621836
y: 0.0953864082694
z: 0.249599739909
x: 0.00361057394184
y: 0.318331003189
z: -0.0705560669303
w: 1.0"
2017-11-03 14:42:43:473504,"Current Word: ,\rspd=70\ a"
2017-11-03 14:42:44:934198,"Current Word: ,\rspd=70\ secret?		"
2017-11-03 14:42:44:933745,"Position: x: 0.205416992307
y: 0.0848851054907
z: 0.250599205494
x: 0.00643397448584
y: 0.311904519796
z: -0.12220351398
w: 1.0"
2017-11-03 14:42:45:992566,"Position: x: 0.196877360344
y: 0.116500377655
z: 0.234970927238
x: 0.00893089920282
y: 0.394741356373
z: 0.0340117327869
w: 1.0"
2017-11-03 14:42:45:992872,"Current Word: ,\rspd=70\ well"
2017-11-03 14:42:47:435675,"Position: x: 0.199520379305
y: 0.116586096585
z: 0.240439891815
x: 0.00407632626593
y: 0.367115676403
z: 0.0345766507089
w: 1.0"
2017-11-03 14:42:47:436273,"Current Word: ,\rspd=70\ everyone"
2017-11-03 14:42:48:894365,"Position: x: 0.200265049934
y: 0.106155529618
z: 0.239507392049
x: 0.000198164503672
y: 0.369928717613
z: -0.0180723518133
w: 1.0"
2017-11-03 14:42:48:894890,"Current Word: ,\rspd=70\ thinks"
2017-11-03 14:42:50:331854,"Position: x: 0.200967386365
y: 0.095758356154
z: 0.239685624838
x: 0.00734176393598
y: 0.36722445488
z: -0.0707499459386
w: 1.0"
2017-11-03 14:42:50:333060,"Current Word: ,\rspd=70\ I am"
2017-11-03 14:42:51:794402,"Position: x: 0.201616227627
y: 0.0852155014873
z: 0.240978360176
x: 0.0110566560179
y: 0.359091252089
z: -0.123124949634
w: 1.0"
2017-11-03 14:42:51:795729,"Current Word: ,\rspd=70\ only			"
2017-11-03 14:42:52:913019,"Position: x: 0.191887408495
y: 0.11925175786
z: 0.226040780544
x: 0.00721446983516
y: 0.441372394562
z: 0.0493996180594
w: 1.0"
2017-11-03 14:42:52:913499,"Current Word: ,\rspd=70\  big"
2017-11-03 14:42:54:060035,"Position: x: 0.193933293223
y: 0.121018223464
z: 0.230272606015
x: 0.00445425137877
y: 0.419875055552
z: 0.0586236938834
w: 1.0"
2017-11-03 14:42:54:060442,"Current Word: ,\rspd=70\ and"
2017-11-03 14:42:55:192773,"Current Word: ,\rspd=70\ cute"
2017-11-03 14:42:55:192500,"Position: x: 0.195108443499
y: 0.114156030118
z: 0.230672925711
x: 0.00220093503594
y: 0.41644692421
z: 0.0231979265809
w: 1.0"
2017-11-03 14:42:56:330927,"Position: x: 0.194992780685
y: 0.105796940625
z: 0.228656053543
x: 0.00408308627084
y: 0.425084352493
z: -0.0203656181693
w: 1.0"
2017-11-03 14:42:56:331513,"Current Word: ,\rspd=70\ but"
2017-11-03 14:42:57:531976,"Position: x: 0.195449724793
y: 0.0980639308691
z: 0.228607192636
x: 0.0069410353899
y: 0.423595964909
z: -0.0609841011465
w: 1.0"
2017-11-03 14:42:57:532563,"Current Word: ,\rspd=70\ really"
2017-11-03 14:42:58:754615,"Position: x: 0.195809066296
y: 0.0899088531733
z: 0.229021534324
x: 0.00597993098199
y: 0.42011615634
z: -0.1027103737
w: 1.0"
2017-11-03 14:42:58:754925,"Current Word: ,\rspd=70\ I am"
2017-11-03 14:42:59:971771,"Current Word: ,\rspd=70\ the 		"
2017-11-03 14:42:59:971838,"Position: x: 0.195720493793
y: 0.0825656577945
z: 0.228834792972
x: 0.0127539411187
y: 0.419417232275
z: -0.141518741846
w: 1.0"
2017-11-03 14:43:01:135576,"Position: x: 0.186257898808
y: 0.117506489158
z: 0.215786248446
x: 0.00714833056554
y: 0.495509326458
z: 0.0418483801186
w: 1.0"
2017-11-03 14:43:01:135880,"Current Word: ,\rspd=70\ bravest"
