*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 16:27:54:063836,Reading speed:,0.06with0.06delay
2017-12-04 16:27:54:063908,Instruction:,"NumberOfStart:
1
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

2017-12-04 16:28:18:303624,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:18:403099,Detected ARTags: ,"30, 31"
2017-12-04 16:28:18:403596,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:18:403682,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:18:503233,Detected ARTags: ,"30, 31"
2017-12-04 16:28:18:503721,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:18:503833,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:18:606047,Detected ARTags: ,"30, 31"
2017-12-04 16:28:18:606467,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:18:606605,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:18:713889,Detected ARTags: ,"30, 31"
2017-12-04 16:28:18:715335,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:18:715680,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:18:817762,Detected ARTags: ,"30, 31"
2017-12-04 16:28:18:819863,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:18:820168,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:18:915262,Detected ARTags: ,"30, 31"
2017-12-04 16:28:18:917131,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:18:916765,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:19:015552,Detected ARTags: ,"30, 31"
2017-12-04 16:28:19:016402,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:19:016689,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:19:116010,Detected ARTags: ,"30, 31"
2017-12-04 16:28:19:116315,Body Gesture:,Not Pointing
2017-12-04 16:28:19:117367,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:19:117872,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:19:124613,Robot State:,Reading Mode Started
2017-12-04 16:28:19:124977,Current State of Correction: ,False
2017-12-04 16:28:19:216026,Detected ARTags: ,"30, 31"
2017-12-04 16:28:19:216394,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:19:216707,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:19:314010,Detected ARTags: ,"30, 31"
2017-12-04 16:28:19:314229,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:19:314581,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:19:410481,Detected ARTags: ,"30, 31"
2017-12-04 16:28:19:411356,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:19:411655,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:19:509611,Detected ARTags: ,"30, 31"
2017-12-04 16:28:19:510784,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:19:510964,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:19:538127,Robot Hand Pose: ,"x: 0.0837459564209
y: 0.117508664727
z: 0.142888039351
x: -1.02459955215
y: 0.84644651413
z: -0.0195238254964
w: 1.0"
2017-12-04 16:28:19:538895,Current Word:,\rspd=80\  Red planet
2017-12-04 16:28:19:542711,Robot State:,0.0
2017-12-04 16:28:19:718965,Detected ARTags: ,"30, 31"
2017-12-04 16:28:19:719524,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:19:719736,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:19:805648,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:19:805553,Detected ARTags: ,"30, 31"
2017-12-04 16:28:19:805768,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:19:906263,Detected ARTags: ,"30, 31"
2017-12-04 16:28:19:906460,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:19:906532,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:20:006075,Detected ARTags: ,"30, 31"
2017-12-04 16:28:20:006670,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:20:006787,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:20:106889,Detected ARTags: ,"30, 31"
