*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
2017-11-03 14:41:22:935156,"Position: x: 0.188702732325
y: 0.117513887584
z: 0.220181360841
x: 0.00223355577327
y: 0.471682161093
z: 0.0404399558902
w: 1.0"
2017-11-03 14:41:22:935441,"Current Word: ,\rspd=70\  human"
2017-11-03 14:41:24:415882,"Position: x: 0.189488768578
y: 0.106090635061
z: 0.219137728214
x: 0.00605386961251
y: 0.474827736616
z: -0.0195084344596
w: 1.0"
2017-11-03 14:41:24:416504,"Current Word: ,\rspd=70\ there"
2017-11-03 14:41:25:933817,"Current Word: ,\rspd=70\ ever"
2017-11-03 14:41:25:934034,"Position: x: 0.189710631967
y: 0.0953939780593
z: 0.218717306852
x: 0.0092279817909
y: 0.474616020918
z: -0.0763328000903
w: 1.0"
2017-11-03 14:41:27:433171,"Current Word: ,\rspd=70\ was "
2017-11-03 14:41:27:433071,"Position: x: 0.189867705107
y: 0.0839903652668
z: 0.218717426062
x: 0.0126627702266
y: 0.472053349018
z: -0.136534124613
w: 1.0"
2017-11-03 14:41:28:850065,"Robot State: ,Looking at The Book"
2017-11-03 14:41:32:650071,"Robot State: ,Looking at The Book"
