*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-11-03 14:26:38:483288" "Robot State: ,Introduce Nao Started"
"2017-11-03 14:26:40:177879" "Robot State: ,Introduce Nao Ended"
"2017-11-03 14:26:41:352058" "Robot State: ,Looking at The Book"
