*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-20 13:01:41:670374,Child Name:,Child Name
2017-11-20 13:01:41:680281,On or OFF:,Face Tracking is OFF
2017-11-20 13:01:42:305455,On or OFF:,Face Tracking is ON
2017-11-20 13:01:43:310006,Robot State:,Introduce Nao Started
2017-11-20 13:02:00:012672,Robot State:,Introduce Nao Ended
2017-11-20 13:02:00:598155,On or OFF:,Face Tracking is OFF
2017-11-20 13:02:01:617215,Robot State:,Looking at The Book
2017-11-20 13:02:02:219001,Robot State:,TaskONE Selected
2017-11-20 13:02:03:235158,Robot State:,Looking at The Book
2017-11-20 13:02:05:357708,Robot State:,Reading Mode Started
2017-11-20 13:02:09:799297,Current Word:,\rspd=70\  HOOT
2017-11-20 13:02:09:799522,Position: ,"x: 0.201529741287
y: 0.103909112513
z: 0.240393951535
x: 0.0159175377339
y: 0.364987134933
z: -0.0380581021309
w: 1.0"
2017-11-20 13:02:12:959066,Current Word:,\rspd=70\ HOOT		
2017-11-20 13:02:12:959177,Position: ,"x: 0.210260897875
y: 0.0783630385995
z: 0.262795656919
x: 0.00382702541538
y: 0.252433359623
z: -0.155073165894
w: 1.0"
2017-11-20 13:02:14:079451,Position: ,"x: 0.201060846448
y: 0.112414672971
z: 0.24066862464
x: 0.010722624138
y: 0.365062117577
z: 0.00793074723333
w: 1.0"
2017-11-20 13:02:14:080379,Current Word:,\rspd=70\  Don't
2017-11-20 13:02:15:497809,Position: ,"x: 0.203034862876
y: 0.112755768001
z: 0.245686724782
x: 0.00532588176429
y: 0.339944213629
z: 0.010440543294
w: 1.0"
2017-11-20 13:02:15:498102,Current Word:,\rspd=70\ listen
2017-11-20 13:02:16:919213,Position: ,"x: 0.204325675964
y: 0.101945400238
z: 0.246087536216
x: 0.00159025355242
y: 0.336354583502
z: -0.0433404929936
w: 1.0"
2017-11-20 13:02:16:920044,Current Word:,\rspd=70\ to
2017-11-20 13:02:18:358740,Position: ,"x: 0.204423367977
y: 0.0917555391788
z: 0.245450362563
x: 0.0049301404506
y: 0.337984621525
z: -0.0936578139663
w: 1.0"
2017-11-20 13:02:18:358529,Current Word:,\rspd=70\ that
2017-11-20 13:02:19:780536,Position: ,"x: 0.205219686031
y: 0.0809272378683
z: 0.247731566429
x: 0.0101854549721
y: 0.325011759996
z: -0.147093057632
w: 1.0"
2017-11-20 13:02:19:781200,Current Word:,\rspd=70\ tiny
2017-11-20 13:02:21:240461,Position: ,"x: 0.2042735219
y: 0.0707902386785
z: 0.247110933065
x: 0.0119524430484
y: 0.326448142529
z: -0.197361841798
w: 1.0"
2017-11-20 13:02:21:241156,Current Word:,\rspd=70\ little
2017-11-20 13:02:22:719651,Position: ,"x: 0.203611671925
y: 0.0602482929826
z: 0.248503059149
x: 0.0141633506864
y: 0.318170398474
z: -0.248648121953
w: 1.0"
2017-11-20 13:02:22:720717,Current Word:,\rspd=70\  rabbit 			
2017-11-20 13:02:24:279452,Current Word:,\rspd=70\  I am
2017-11-20 13:02:24:278892,Position: ,"x: 0.194231554866
y: 0.11524476856
z: 0.227430775762
x: 0.00798596721143
y: 0.43330091238
z: 0.0233502723277
w: 1.0"
2017-11-20 13:02:25:501008,Position: ,"x: 0.196561411023
y: 0.116414479911
z: 0.232266679406
x: 0.00698555493727
y: 0.408569872379
z: 0.0291757956147
w: 1.0"
2017-11-20 13:02:25:501643,Current Word:,\rspd=70\ the
2017-11-20 13:02:26:726069,Position: ,"x: 0.197996482253
y: 0.10868588835
z: 0.233264297247
x: 0.00244532525539
y: 0.401882916689
z: -0.00944057293236
w: 1.0"
2017-11-20 13:02:26:726738,Current Word:,\rspd=70\ wisest
2017-11-20 13:02:27:937598,Position: ,"x: 0.19859585166
y: 0.100518576801
z: 0.233177006245
x: 0.00631511164829
y: 0.400804460049
z: -0.0510453544557
w: 1.0"
2017-11-20 13:02:27:938168,Current Word:,\rspd=70\ and
2017-11-20 13:02:29:230204,Position: ,"x: 0.199193298817
y: 0.0911477655172
z: 0.233788907528
x: 0.00639370363206
y: 0.395943194628
z: -0.0992596670985
w: 1.0"
2017-11-20 13:02:29:230620,Current Word:,\rspd=70\ bravest
2017-11-20 13:02:30:488514,Current Word:,\rspd=70\  snake
2017-11-20 13:02:30:487495,Position: ,"x: 0.199363425374
y: 0.0827266052365
z: 0.23421806097
x: 0.0128684788942
y: 0.39206045866
z: -0.142487794161
w: 1.0"
2017-11-20 13:02:31:736556,Position: ,"x: 0.199005842209
y: 0.0740924030542
z: 0.234537780285
x: 0.0151893831789
y: 0.388837188482
z: -0.185494601727
w: 1.0"
2017-11-20 13:02:31:737476,Current Word:,\rspd=70\ in
2017-11-20 13:02:32:978213,Position: ,"x: 0.198855191469
y: 0.0658635124564
z: 0.235859572887
x: 0.0197007264942
y: 0.380841255188
z: -0.226344808936
w: 1.0"
2017-11-20 13:02:32:978677,Current Word:,\rspd=70\ the
2017-11-20 13:02:34:219316,Current Word:,\rspd=70\ skies.
2017-11-20 13:02:34:219470,Position: ,"x: 0.197918921709
y: 0.0576417483389
z: 0.23641705513
x: 0.019055461511
y: 0.376258164644
z: -0.269246459007
w: 1.0"
2017-11-20 13:02:35:635166,Robot State:,Looking at The Book
2017-11-20 13:02:39:454333,Robot State:,Looking at The Book
