*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-28 20:48:42:159001,Child Name:,Child Name
2017-11-28 20:48:42:166742,On or OFF:,Face Tracking is OFF
2017-11-28 20:48:42:889446,On or OFF:,Face Tracking is ON
2017-11-28 20:48:43:893104,Robot State:,Introduce Nao Started
2017-11-28 20:48:47:309069,Robot State:,Introduce Nao Ended
2017-11-28 20:48:47:873080,On or OFF:,Face Tracking is OFF
2017-11-28 20:48:48:882319,Robot State:,Looking at The Book
2017-11-28 20:48:49:493721,Robot State:,TaskONE Selected
2017-11-28 20:48:50:523262,Robot State:,Looking at The Book
2017-11-28 20:48:51:027949,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:038693,Current State of Reading: ,False
2017-11-28 20:48:51:038819,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:056166,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:057304,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:057587,Current State of Reading: ,False
2017-11-28 20:48:51:060805,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:061774,Current State of Reading: ,False
2017-11-28 20:48:51:061690,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:065032,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:065750,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:065896,Current State of Reading: ,False
2017-11-28 20:48:51:068435,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:069153,Current State of Reading: ,False
2017-11-28 20:48:51:069294,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:072594,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:073297,Current State of Reading: ,False
2017-11-28 20:48:51:073168,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:077986,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:078334,Current State of Reading: ,False
2017-11-28 20:48:51:078478,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:083656,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:084283,Current State of Reading: ,False
2017-11-28 20:48:51:084188,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:087793,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:088017,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:088187,Current State of Reading: ,False
2017-11-28 20:48:51:091204,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:091466,Current State of Reading: ,False
2017-11-28 20:48:51:091580,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:094206,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:094521,Current State of Reading: ,False
2017-11-28 20:48:51:094579,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:096745,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:097395,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:097688,Current State of Reading: ,False
2017-11-28 20:48:51:101579,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:101997,Current State of Reading: ,False
2017-11-28 20:48:51:102118,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:104291,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:104648,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:104789,Current State of Reading: ,False
2017-11-28 20:48:51:107275,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:107495,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:107590,Current State of Reading: ,False
2017-11-28 20:48:51:109384,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:109872,Current State of Reading: ,False
2017-11-28 20:48:51:109915,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:112130,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:112818,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:112774,Current State of Reading: ,False
2017-11-28 20:48:51:201382,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:202530,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:202687,Current State of Reading: ,False
2017-11-28 20:48:51:381220,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:381719,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:381877,Current State of Reading: ,False
2017-11-28 20:48:51:481582,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:482037,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:482270,Current State of Reading: ,False
2017-11-28 20:48:51:598002,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:598873,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:601681,Current State of Reading: ,False
2017-11-28 20:48:51:682346,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:683008,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:683134,Current State of Reading: ,False
2017-11-28 20:48:51:783503,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:784055,Current State of Reading: ,False
2017-11-28 20:48:51:784196,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:889170,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:889886,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:51:890225,Current State of Reading: ,False
2017-11-28 20:48:51:982731,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:51:983251,Current State of Reading: ,False
2017-11-28 20:48:51:983503,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:52:100777,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:52:101788,Current State of Reading: ,False
2017-11-28 20:48:52:101938,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:52:186785,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:52:187638,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:52:187864,Current State of Reading: ,False
2017-11-28 20:48:52:281291,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:52:281534,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:52:281745,Current State of Reading: ,False
2017-11-28 20:48:52:381747,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:52:381977,Current State of Reading: ,False
2017-11-28 20:48:52:384044,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:52:481165,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:52:481624,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:52:481782,Current State of Reading: ,False
2017-11-28 20:48:52:587342,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:52:588018,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:52:588292,Current State of Reading: ,False
2017-11-28 20:48:52:612206,Robot State:,Reading Mode Started
2017-11-28 20:48:52:681767,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:52:682491,Current State of Reading: ,False
2017-11-28 20:48:52:682421,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:52:781019,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:52:781591,Current State of Reading: ,False
2017-11-28 20:48:52:781649,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:52:885938,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:52:886407,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:52:886717,Current State of Reading: ,False
2017-11-28 20:48:52:985240,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:52:985996,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:52:986098,Current State of Reading: ,False
2017-11-28 20:48:53:082951,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:53:083179,Current State of Reading: ,False
2017-11-28 20:48:53:083337,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:53:181080,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:53:181506,Current State of Reading: ,False
2017-11-28 20:48:53:181955,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:53:281644,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:53:282190,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:53:282441,Current State of Reading: ,False
2017-11-28 20:48:53:387105,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:53:388438,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:53:388262,Current State of Reading: ,False
2017-11-28 20:48:53:484009,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:53:484316,Current State of Reading: ,False
2017-11-28 20:48:53:484492,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:53:687565,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:53:688360,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:53:688568,Current State of Reading: ,False
2017-11-28 20:48:53:797108,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:53:798315,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:53:798137,Current State of Reading: ,False
2017-11-28 20:48:53:881650,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:53:882090,Current State of Reading: ,False
2017-11-28 20:48:53:882265,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:53:996930,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:53:997549,Current State of Reading: ,False
2017-11-28 20:48:53:997442,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:54:082640,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:54:082981,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:54:083079,Current State of Reading: ,False
2017-11-28 20:48:54:181571,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:54:182092,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:54:182223,Current State of Reading: ,False
2017-11-28 20:48:54:296350,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:54:297222,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:54:297480,Current State of Reading: ,False
2017-11-28 20:48:54:389785,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:54:391096,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:54:391551,Current State of Reading: ,False
2017-11-28 20:48:54:483039,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:54:483461,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:54:483622,Current State of Reading: ,False
2017-11-28 20:48:54:585454,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:54:585579,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:54:681317,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:54:681554,Current State of Reading: ,False
2017-11-28 20:48:54:681725,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:54:783525,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:54:784136,Current State of Reading: ,False
2017-11-28 20:48:54:784344,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:54:889783,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:54:891040,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:54:890860,Current State of Reading: ,False
2017-11-28 20:48:54:981804,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:54:982315,Current State of Reading: ,False
2017-11-28 20:48:54:982395,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:55:081214,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:55:081829,Current State of Reading: ,False
2017-11-28 20:48:55:081641,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:55:182001,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:55:182234,Current State of Reading: ,False
2017-11-28 20:48:55:182366,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:55:281445,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:55:281941,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:55:282126,Current State of Reading: ,False
2017-11-28 20:48:55:397513,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:55:398567,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:55:399137,Current State of Reading: ,False
2017-11-28 20:48:55:485296,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:55:486142,Current State of Reading: ,False
2017-11-28 20:48:55:485999,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:55:581791,Detected ARTags: ,"61, 62, 63, 64"
2017-11-28 20:48:55:582104,Current State of Reading: ,False
2017-11-28 20:48:55:582360,Detected ARTags: ,"[61, 62]"
2017-11-28 20:48:55:691666,Detected ARTags: ,"61, 62, 63, 64"
