*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-22 19:16:07:679556,Child Name:,Child Name
2017-11-22 19:16:07:684771,On or OFF:,Face Tracking is OFF
2017-11-22 19:16:08:339224,On or OFF:,Face Tracking is ON
2017-11-22 19:16:09:345364,Robot State:,Introduce Nao Started
2017-11-22 19:16:12:256089,Robot State:,Introduce Nao Ended
2017-11-22 19:16:12:446351,On or OFF:,Face Tracking is OFF
2017-11-22 19:16:13:459259,Robot State:,Looking at The Book
2017-11-22 19:16:14:030600,Robot State:,TaskONE Selected
2017-11-22 19:16:15:058710,Robot State:,Looking at The Book
2017-11-22 19:16:15:574086,Current State of Reading: ,False
2017-11-22 19:16:15:589282,Current State of Reading: ,Waiting for Red-card
2017-11-22 19:16:17:154543,Robot State:,Reading Mode Started
2017-11-22 19:16:21:783401,Robot Hand Pose: ,"x: 0.204917937517
y: 0.0671513825655
z: 0.251526534557
x: 0.00923480466008
y: 0.304837584496
z: -0.210885763168
w: 1.0"
2017-11-22 19:16:21:784605,Current Word:,\rspd=70\  POOF!		
2017-11-22 19:16:22:302705,Robot Hand Pose: ,"x: 0.205099105835
y: 0.0688211247325
z: 0.251490294933
x: 0.00748094730079
y: 0.305302172899
z: -0.20126542449
w: 1.0"
2017-11-22 19:16:22:303062,Current Word:,\rspd=70\  That
2017-11-22 19:16:23:203574,Current Word:,\rspd=70\ goofy
2017-11-22 19:16:23:203195,Robot Hand Pose: ,"x: 0.205596446991
y: 0.075151398778
z: 0.251508116722
x: 0.00825938675553
y: 0.306183576584
z: -0.168861582875
w: 1.0"
2017-11-22 19:16:24:124050,Robot Hand Pose: ,"x: 0.205434039235
y: 0.0732129514217
z: 0.251500725746
x: 0.00492511782795
y: 0.30580073595
z: -0.178639754653
w: 1.0"
2017-11-22 19:16:24:124645,Current Word:,\rspd=70\  giraffe
2017-11-22 19:16:25:062825,Robot Hand Pose: ,"x: 0.204651728272
y: 0.0668438673019
z: 0.251696109772
x: 0.00253418739885
y: 0.304128944874
z: -0.20899502933
w: 1.0"
2017-11-22 19:16:25:063568,Current Word:,\rspd=70\ was
2017-11-22 19:16:25:982194,Robot Hand Pose: ,"x: 0.204153746367
y: 0.0622921660542
z: 0.251784741879
x: 0.00515300780535
y: 0.303101181984
z: -0.231320470572
w: 1.0"
2017-11-22 19:16:25:982835,Current Word:,\rspd=70\ gone
2017-11-22 19:16:26:883073,Robot Hand Pose: ,"x: 0.203521758318
y: 0.0570447817445
z: 0.251850962639
x: 0.006739072036
y: 0.30210095644
z: -0.257039308548
w: 1.0"
2017-11-22 19:16:26:883387,Current Word:,\rspd=70\ in
2017-11-22 19:16:27:805236,Robot Hand Pose: ,"x: 0.202492728829
y: 0.0517492294312
z: 0.252033829689
x: 0.00915832351893
y: 0.300342708826
z: -0.28442800045
w: 1.0"
2017-11-22 19:16:27:805687,Current Word:,\rspd=70\ a		
2017-11-22 19:16:28:663578,Robot Hand Pose: ,"x: 0.202654719353
y: 0.0702656283975
z: 0.245535880327
x: 0.0189494937658
y: 0.334276676178
z: -0.195755749941
w: 1.0"
2017-11-22 19:16:28:664381,Current Word:,\rspd=70\  snippety  snap
2017-11-22 19:16:29:683351,Current Word:,\rspd=70\ Danger
2017-11-22 19:16:29:683494,Robot Hand Pose: ,"x: 0.203036546707
y: 0.0739601254463
z: 0.24584877491
x: 0.0110658770427
y: 0.333216518164
z: -0.177930250764
w: 1.0"
2017-11-22 19:16:30:703919,Robot Hand Pose: ,"x: 0.201530635357
y: 0.0699352920055
z: 0.243087366223
x: 0.00630838889629
y: 0.346034020185
z: -0.198043316603
w: 1.0"
2017-11-22 19:16:30:704800,Current Word:,\rspd=70\ is
2017-11-22 19:16:31:742594,Current Word:,\rspd=70\ my
2017-11-22 19:16:31:742320,Robot Hand Pose: ,"x: 0.20090033114
y: 0.0635628327727
z: 0.2431756109
x: 0.00735543621704
y: 0.344898492098
z: -0.228702142835
w: 1.0"
2017-11-22 19:16:32:785223,Robot Hand Pose: ,"x: 0.199917584658
y: 0.0582476556301
z: 0.242700517178
x: 0.00777931930497
y: 0.34626019001
z: -0.256603837013
w: 1.0"
2017-11-22 19:16:32:785859,Current Word:,\rspd=70\ middle
2017-11-22 19:16:33:823056,Current Word:,\rspd=70\ name 		
2017-11-22 19:16:33:823456,Robot Hand Pose: ,"x: 0.198420152068
y: 0.0520065277815
z: 0.241698175669
x: 0.0106280427426
y: 0.35006710887
z: -0.288033157587
w: 1.0"
2017-11-22 19:16:34:661949,Robot Hand Pose: ,"x: 0.197762042284
y: 0.0694954544306
z: 0.234583348036
x: 0.0204094368964
y: 0.388045012951
z: -0.205051347613
w: 1.0"
2017-11-22 19:16:34:662476,Current Word:,\rspd=70\  and
2017-11-22 19:16:35:681843,Robot Hand Pose: ,"x: 0.198312655091
y: 0.0741903111339
z: 0.235127493739
x: 0.0132261570543
y: 0.38608905673
z: -0.180140897632
w: 1.0"
2017-11-22 19:16:35:682314,Current Word:,\rspd=70\ I am
2017-11-22 19:16:36:720931,Robot Hand Pose: ,"x: 0.198938697577
y: 0.0697322934866
z: 0.236985832453
x: 0.0147770522162
y: 0.376095563173
z: -0.201362207532
w: 1.0"
2017-11-22 19:16:36:721956,Current Word:,\rspd=70\ the
